Date,Home/Neutral,Visitor/Neutral,Diifference
"Tue, Oct 16, 2018",Boston Celtics,Philadelphia 76ers,18.0
"Tue, Oct 16, 2018",Golden State Warriors,Oklahoma City Thunder,8.0
"Wed, Oct 17, 2018",Charlotte Hornets,Milwaukee Bucks,-1.0
"Wed, Oct 17, 2018",Detroit Pistons,Brooklyn Nets,3.0
"Wed, Oct 17, 2018",Indiana Pacers,Memphis Grizzlies,28.0
"Wed, Oct 17, 2018",Orlando Magic,Miami Heat,3.0
"Wed, Oct 17, 2018",New York Knicks,Atlanta Hawks,19.0
"Wed, Oct 17, 2018",Toronto Raptors,Cleveland Cavaliers,12.0
"Wed, Oct 17, 2018",Houston Rockets,New Orleans Pelicans,-19.0
"Wed, Oct 17, 2018",San Antonio Spurs,Minnesota Timberwolves,4.0
"Wed, Oct 17, 2018",Sacramento Kings,Utah Jazz,-6.0
"Wed, Oct 17, 2018",Los Angeles Clippers,Denver Nuggets,-9.0
"Wed, Oct 17, 2018",Phoenix Suns,Dallas Mavericks,21.0
"Thu, Oct 18, 2018",Philadelphia 76ers,Chicago Bulls,19.0
"Thu, Oct 18, 2018",Washington Wizards,Miami Heat,-1.0
"Thu, Oct 18, 2018",Portland Trail Blazers,Los Angeles Lakers,9.0
"Fri, Oct 19, 2018",Orlando Magic,Charlotte Hornets,-32.0
"Fri, Oct 19, 2018",Brooklyn Nets,New York Knicks,2.0
"Fri, Oct 19, 2018",Memphis Grizzlies,Atlanta Hawks,14.0
"Fri, Oct 19, 2018",Minnesota Timberwolves,Cleveland Cavaliers,8.0
"Fri, Oct 19, 2018",New Orleans Pelicans,Sacramento Kings,20.0
"Fri, Oct 19, 2018",Toronto Raptors,Boston Celtics,12.0
"Fri, Oct 19, 2018",Milwaukee Bucks,Indiana Pacers,17.0
"Fri, Oct 19, 2018",Los Angeles Clippers,Oklahoma City Thunder,16.0
"Fri, Oct 19, 2018",Utah Jazz,Golden State Warriors,-1.0
"Sat, Oct 20, 2018",Indiana Pacers,Brooklyn Nets,20.0
"Sat, Oct 20, 2018",Washington Wizards,Toronto Raptors,-4.0
"Sat, Oct 20, 2018",New York Knicks,Boston Celtics,-2.0
"Sat, Oct 20, 2018",Philadelphia 76ers,Orlando Magic,1.0
"Sat, Oct 20, 2018",Chicago Bulls,Detroit Pistons,-2.0
"Sat, Oct 20, 2018",Miami Heat,Charlotte Hornets,-1.0
"Sat, Oct 20, 2018",Dallas Mavericks,Minnesota Timberwolves,4.0
"Sat, Oct 20, 2018",Denver Nuggets,Phoenix Suns,28.0
"Sat, Oct 20, 2018",Portland Trail Blazers,San Antonio Spurs,13.0
"Sat, Oct 20, 2018",Los Angeles Lakers,Houston Rockets,-9.0
"Sun, Oct 21, 2018",Cleveland Cavaliers,Atlanta Hawks,-22.0
"Sun, Oct 21, 2018",Oklahoma City Thunder,Sacramento Kings,-11.0
"Sun, Oct 21, 2018",Denver Nuggets,Golden State Warriors,2.0
"Sun, Oct 21, 2018",Los Angeles Clippers,Houston Rockets,3.0
"Mon, Oct 22, 2018",Boston Celtics,Orlando Magic,-3.0
"Mon, Oct 22, 2018",Toronto Raptors,Charlotte Hornets,21.0
"Mon, Oct 22, 2018",Milwaukee Bucks,New York Knicks,11.0
"Mon, Oct 22, 2018",Minnesota Timberwolves,Indiana Pacers,10.0
"Mon, Oct 22, 2018",Dallas Mavericks,Chicago Bulls,6.0
"Mon, Oct 22, 2018",Utah Jazz,Memphis Grizzlies,-8.0
"Mon, Oct 22, 2018",Portland Trail Blazers,Washington Wizards,-1.0
"Mon, Oct 22, 2018",Golden State Warriors,Phoenix Suns,20.0
"Mon, Oct 22, 2018",Los Angeles Lakers,San Antonio Spurs,-1.0
"Tue, Oct 23, 2018",Detroit Pistons,Philadelphia 76ers,1.0
"Tue, Oct 23, 2018",New Orleans Pelicans,Los Angeles Clippers,7.0
"Tue, Oct 23, 2018",Denver Nuggets,Sacramento Kings,14.0
"Wed, Oct 24, 2018",Atlanta Hawks,Dallas Mavericks,7.0
"Wed, Oct 24, 2018",Cleveland Cavaliers,Brooklyn Nets,-16.0
"Wed, Oct 24, 2018",Miami Heat,New York Knicks,23.0
"Wed, Oct 24, 2018",Toronto Raptors,Minnesota Timberwolves,7.0
"Wed, Oct 24, 2018",Chicago Bulls,Charlotte Hornets,2.0
"Wed, Oct 24, 2018",Houston Rockets,Utah Jazz,-11.0
