Date,Home/Neutral,Visitor/Neutral,Diifference
"Tue, Oct 27, 2015",Atlanta Hawks,Detroit Pistons,-12.0
"Tue, Oct 27, 2015",Chicago Bulls,Cleveland Cavaliers,2.0
"Tue, Oct 27, 2015",Golden State Warriors,New Orleans Pelicans,16.0
"Wed, Oct 28, 2015",Orlando Magic,Washington Wizards,-1.0
"Wed, Oct 28, 2015",Toronto Raptors,Indiana Pacers,7.0
"Wed, Oct 28, 2015",Miami Heat,Charlotte Hornets,10.0
"Wed, Oct 28, 2015",Brooklyn Nets,Chicago Bulls,-15.0
"Wed, Oct 28, 2015",Boston Celtics,Philadelphia 76ers,17.0
"Wed, Oct 28, 2015",Detroit Pistons,Utah Jazz,5.0
"Wed, Oct 28, 2015",Houston Rockets,Denver Nuggets,-20.0
"Wed, Oct 28, 2015",Oklahoma City Thunder,San Antonio Spurs,6.0
"Wed, Oct 28, 2015",Milwaukee Bucks,New York Knicks,-25.0
"Wed, Oct 28, 2015",Memphis Grizzlies,Cleveland Cavaliers,-30.0
"Wed, Oct 28, 2015",Phoenix Suns,Dallas Mavericks,-16.0
"Wed, Oct 28, 2015",Portland Trail Blazers,New Orleans Pelicans,18.0
"Wed, Oct 28, 2015",Sacramento Kings,Los Angeles Clippers,-7.0
"Wed, Oct 28, 2015",Los Angeles Lakers,Minnesota Timberwolves,-1.0
"Thu, Oct 29, 2015",Indiana Pacers,Memphis Grizzlies,-9.0
"Thu, Oct 29, 2015",New York Knicks,Atlanta Hawks,-11.0
"Thu, Oct 29, 2015",Los Angeles Clippers,Dallas Mavericks,16.0
"Fri, Oct 30, 2015",Philadelphia 76ers,Utah Jazz,-28.0
"Fri, Oct 30, 2015",Orlando Magic,Oklahoma City Thunder,-3.0
"Fri, Oct 30, 2015",Cleveland Cavaliers,Miami Heat,10.0
"Fri, Oct 30, 2015",Detroit Pistons,Chicago Bulls,4.0
"Fri, Oct 30, 2015",Boston Celtics,Toronto Raptors,-10.0
"Fri, Oct 30, 2015",Milwaukee Bucks,Washington Wizards,-5.0
"Fri, Oct 30, 2015",Atlanta Hawks,Charlotte Hornets,3.0
"Fri, Oct 30, 2015",San Antonio Spurs,Brooklyn Nets,27.0
"Fri, Oct 30, 2015",Denver Nuggets,Minnesota Timberwolves,-17.0
"Fri, Oct 30, 2015",Houston Rockets,Golden State Warriors,-20.0
"Fri, Oct 30, 2015",Sacramento Kings,Los Angeles Lakers,18.0
"Fri, Oct 30, 2015",Phoenix Suns,Portland Trail Blazers,18.0
"Sat, Oct 31, 2015",Indiana Pacers,Utah Jazz,-21.0
"Sat, Oct 31, 2015",Washington Wizards,New York Knicks,-7.0
"Sat, Oct 31, 2015",New Orleans Pelicans,Golden State Warriors,-14.0
"Sat, Oct 31, 2015",Memphis Grizzlies,Brooklyn Nets,10.0
"Sat, Oct 31, 2015",Portland Trail Blazers,Phoenix Suns,-11.0
"Sat, Oct 31, 2015",Los Angeles Clippers,Sacramento Kings,5.0
"Sun, Nov 1, 2015",Charlotte Hornets,Atlanta Hawks,-2.0
"Sun, Nov 1, 2015",Boston Celtics,San Antonio Spurs,-8.0
