Date,Home/Neutral,Visitor/Neutral,Diifference
"Sun, Nov 1, 2015",Miami Heat,Houston Rockets,20.0
"Sun, Nov 1, 2015",Toronto Raptors,Milwaukee Bucks,19.0
"Sun, Nov 1, 2015",Chicago Bulls,Orlando Magic,5.0
"Sun, Nov 1, 2015",Oklahoma City Thunder,Denver Nuggets,24.0
"Sun, Nov 1, 2015",Los Angeles Lakers,Dallas Mavericks,-10.0
"Mon, Nov 2, 2015",Philadelphia 76ers,Cleveland Cavaliers,-7.0
"Mon, Nov 2, 2015",Brooklyn Nets,Milwaukee Bucks,-7.0
"Mon, Nov 2, 2015",New York Knicks,San Antonio Spurs,-10.0
"Mon, Nov 2, 2015",Houston Rockets,Oklahoma City Thunder,5.0
"Mon, Nov 2, 2015",Minnesota Timberwolves,Portland Trail Blazers,-5.0
"Mon, Nov 2, 2015",Golden State Warriors,Memphis Grizzlies,50.0
"Mon, Nov 2, 2015",Los Angeles Clippers,Phoenix Suns,6.0
"Tue, Nov 3, 2015",Charlotte Hornets,Chicago Bulls,25.0
"Tue, Nov 3, 2015",Detroit Pistons,Indiana Pacers,-12.0
"Tue, Nov 3, 2015",Miami Heat,Atlanta Hawks,-6.0
"Tue, Nov 3, 2015",New Orleans Pelicans,Orlando Magic,-9.0
"Tue, Nov 3, 2015",Dallas Mavericks,Toronto Raptors,-11.0
"Tue, Nov 3, 2015",Sacramento Kings,Memphis Grizzlies,-14.0
"Tue, Nov 3, 2015",Los Angeles Lakers,Denver Nuggets,-11.0
"Wed, Nov 4, 2015",Indiana Pacers,Boston Celtics,2.0
"Wed, Nov 4, 2015",Washington Wizards,San Antonio Spurs,3.0
"Wed, Nov 4, 2015",Atlanta Hawks,Brooklyn Nets,14.0
"Wed, Nov 4, 2015",Cleveland Cavaliers,New York Knicks,10.0
"Wed, Nov 4, 2015",Houston Rockets,Orlando Magic,5.0
"Wed, Nov 4, 2015",Milwaukee Bucks,Philadelphia 76ers,4.0
"Wed, Nov 4, 2015",Oklahoma City Thunder,Toronto Raptors,-5.0
"Wed, Nov 4, 2015",Phoenix Suns,Sacramento Kings,21.0
"Wed, Nov 4, 2015",Utah Jazz,Portland Trail Blazers,-16.0
"Wed, Nov 4, 2015",Golden State Warriors,Los Angeles Clippers,4.0
"Thu, Nov 5, 2015",Chicago Bulls,Oklahoma City Thunder,6.0
"Thu, Nov 5, 2015",Minnesota Timberwolves,Miami Heat,-12.0
"Thu, Nov 5, 2015",Dallas Mavericks,Charlotte Hornets,-14.0
"Thu, Nov 5, 2015",Denver Nuggets,Utah Jazz,-12.0
"Thu, Nov 5, 2015",Portland Trail Blazers,Memphis Grizzlies,19.0
"Fri, Nov 6, 2015",Orlando Magic,Toronto Raptors,5.0
"Fri, Nov 6, 2015",Boston Celtics,Washington Wizards,20.0
"Fri, Nov 6, 2015",Brooklyn Nets,Los Angeles Lakers,-6.0
"Fri, Nov 6, 2015",Cleveland Cavaliers,Philadelphia 76ers,6.0
"Fri, Nov 6, 2015",New York Knicks,Milwaukee Bucks,-7.0
"Fri, Nov 6, 2015",Indiana Pacers,Miami Heat,3.0
"Fri, Nov 6, 2015",New Orleans Pelicans,Atlanta Hawks,-6.0
"Fri, Nov 6, 2015",Phoenix Suns,Detroit Pistons,-8.0
"Fri, Nov 6, 2015",Golden State Warriors,Denver Nuggets,15.0
"Fri, Nov 6, 2015",Sacramento Kings,Houston Rockets,-6.0
"Sat, Nov 7, 2015",Chicago Bulls,Minnesota Timberwolves,-9.0
"Sat, Nov 7, 2015",Philadelphia 76ers,Orlando Magic,-8.0
"Sat, Nov 7, 2015",Atlanta Hawks,Washington Wizards,15.0
"Sat, Nov 7, 2015",Dallas Mavericks,New Orleans Pelicans,9.0
"Sat, Nov 7, 2015",Milwaukee Bucks,Brooklyn Nets,8.0
"Sat, Nov 7, 2015",San Antonio Spurs,Charlotte Hornets,20.0
"Sat, Nov 7, 2015",Utah Jazz,Memphis Grizzlies,10.0
"Sat, Nov 7, 2015",Sacramento Kings,Golden State Warriors,-9.0
"Sat, Nov 7, 2015",Los Angeles Clippers,Houston Rockets,-4.0
"Sun, Nov 8, 2015",Cleveland Cavaliers,Indiana Pacers,4.0
"Sun, Nov 8, 2015",New York Knicks,Los Angeles Lakers,4.0
"Sun, Nov 8, 2015",Miami Heat,Toronto Raptors,20.0
"Sun, Nov 8, 2015",Oklahoma City Thunder,Phoenix Suns,21.0
"Sun, Nov 8, 2015",Portland Trail Blazers,Detroit Pistons,-17.0
"Mon, Nov 9, 2015",Indiana Pacers,Orlando Magic,13.0
"Mon, Nov 9, 2015",Philadelphia 76ers,Chicago Bulls,-23.0
"Mon, Nov 9, 2015",Atlanta Hawks,Minnesota Timberwolves,-10.0
"Mon, Nov 9, 2015",Denver Nuggets,Portland Trail Blazers,4.0
"Mon, Nov 9, 2015",Sacramento Kings,San Antonio Spurs,-18.0
"Mon, Nov 9, 2015",Golden State Warriors,Detroit Pistons,14.0
"Mon, Nov 9, 2015",Los Angeles Clippers,Memphis Grizzlies,2.0
"Tue, Nov 10, 2015",Cleveland Cavaliers,Utah Jazz,4.0
"Tue, Nov 10, 2015",Washington Wizards,Oklahoma City Thunder,-24.0
"Tue, Nov 10, 2015",Miami Heat,Los Angeles Lakers,13.0
"Tue, Nov 10, 2015",Toronto Raptors,New York Knicks,-2.0
"Tue, Nov 10, 2015",Milwaukee Bucks,Boston Celtics,-16.0
"Tue, Nov 10, 2015",Minnesota Timberwolves,Charlotte Hornets,-9.0
"Tue, Nov 10, 2015",New Orleans Pelicans,Dallas Mavericks,15.0
"Wed, Nov 11, 2015",Charlotte Hornets,New York Knicks,2.0
"Wed, Nov 11, 2015",Orlando Magic,Los Angeles Lakers,2.0
"Wed, Nov 11, 2015",Philadelphia 76ers,Toronto Raptors,-16.0
"Wed, Nov 11, 2015",Boston Celtics,Indiana Pacers,-11.0
"Wed, Nov 11, 2015",Atlanta Hawks,New Orleans Pelicans,8.0
"Wed, Nov 11, 2015",Dallas Mavericks,Los Angeles Clippers,10.0
"Wed, Nov 11, 2015",Houston Rockets,Brooklyn Nets,-8.0
"Wed, Nov 11, 2015",Memphis Grizzlies,Golden State Warriors,-16.0
"Wed, Nov 11, 2015",Denver Nuggets,Milwaukee Bucks,1.0
"Wed, Nov 11, 2015",Sacramento Kings,Detroit Pistons,9.0
"Wed, Nov 11, 2015",Portland Trail Blazers,San Antonio Spurs,-12.0
"Thu, Nov 12, 2015",Miami Heat,Utah Jazz,1.0
"Thu, Nov 12, 2015",Minnesota Timberwolves,Golden State Warriors,-13.0
"Thu, Nov 12, 2015",Phoenix Suns,Los Angeles Clippers,14.0
"Fri, Nov 13, 2015",Indiana Pacers,Minnesota Timberwolves,4.0
"Fri, Nov 13, 2015",Orlando Magic,Utah Jazz,9.0
"Fri, Nov 13, 2015",Boston Celtics,Atlanta Hawks,13.0
"Fri, Nov 13, 2015",New York Knicks,Cleveland Cavaliers,-6.0
"Fri, Nov 13, 2015",Toronto Raptors,New Orleans Pelicans,19.0
"Fri, Nov 13, 2015",Chicago Bulls,Charlotte Hornets,5.0
"Fri, Nov 13, 2015",Memphis Grizzlies,Portland Trail Blazers,1.0
"Fri, Nov 13, 2015",Oklahoma City Thunder,Philadelphia 76ers,17.0
"Fri, Nov 13, 2015",Dallas Mavericks,Los Angeles Lakers,8.0
"Fri, Nov 13, 2015",Denver Nuggets,Houston Rockets,9.0
"Fri, Nov 13, 2015",Sacramento Kings,Brooklyn Nets,2.0
"Sat, Nov 14, 2015",Los Angeles Clippers,Detroit Pistons,5.0
"Sat, Nov 14, 2015",Washington Wizards,Orlando Magic,9.0
"Sat, Nov 14, 2015",Houston Rockets,Dallas Mavericks,-12.0
"Sat, Nov 14, 2015",Milwaukee Bucks,Cleveland Cavaliers,3.0
"Sat, Nov 14, 2015",San Antonio Spurs,Philadelphia 76ers,9.0
"Sat, Nov 14, 2015",Phoenix Suns,Denver Nuggets,24.0
"Sat, Nov 14, 2015",Golden State Warriors,Brooklyn Nets,8.0
"Sun, Nov 15, 2015",New York Knicks,New Orleans Pelicans,8.0
"Sun, Nov 15, 2015",Minnesota Timberwolves,Memphis Grizzlies,-8.0
"Sun, Nov 15, 2015",Charlotte Hornets,Portland Trail Blazers,12.0
"Sun, Nov 15, 2015",Atlanta Hawks,Utah Jazz,-1.0
"Sun, Nov 15, 2015",Oklahoma City Thunder,Boston Celtics,-15.0
"Sun, Nov 15, 2015",Sacramento Kings,Toronto Raptors,6.0
"Sun, Nov 15, 2015",Los Angeles Lakers,Detroit Pistons,12.0
"Mon, Nov 16, 2015",Philadelphia 76ers,Dallas Mavericks,-6.0
"Mon, Nov 16, 2015",Chicago Bulls,Indiana Pacers,1.0
"Mon, Nov 16, 2015",Houston Rockets,Boston Celtics,-16.0
"Mon, Nov 16, 2015",Memphis Grizzlies,Oklahoma City Thunder,8.0
"Mon, Nov 16, 2015",San Antonio Spurs,Portland Trail Blazers,13.0
"Mon, Nov 16, 2015",Phoenix Suns,Los Angeles Lakers,19.0
"Tue, Nov 17, 2015",Washington Wizards,Milwaukee Bucks,29.0
"Tue, Nov 17, 2015",Brooklyn Nets,Atlanta Hawks,2.0
"Tue, Nov 17, 2015",Detroit Pistons,Cleveland Cavaliers,5.0
"Tue, Nov 17, 2015",Miami Heat,Minnesota Timberwolves,-12.0
"Tue, Nov 17, 2015",New York Knicks,Charlotte Hornets,8.0
"Tue, Nov 17, 2015",New Orleans Pelicans,Denver Nuggets,-17.0
"Tue, Nov 17, 2015",Golden State Warriors,Toronto Raptors,5.0
"Wed, Nov 18, 2015",Charlotte Hornets,Brooklyn Nets,5.0
"Wed, Nov 18, 2015",Orlando Magic,Minnesota Timberwolves,3.0
"Wed, Nov 18, 2015",Philadelphia 76ers,Indiana Pacers,-27.0
"Wed, Nov 18, 2015",Boston Celtics,Dallas Mavericks,-4.0
"Wed, Nov 18, 2015",Atlanta Hawks,Sacramento Kings,6.0
"Wed, Nov 18, 2015",Houston Rockets,Portland Trail Blazers,5.0
"Wed, Nov 18, 2015",Oklahoma City Thunder,New Orleans Pelicans,7.0
"Wed, Nov 18, 2015",San Antonio Spurs,Denver Nuggets,11.0
"Wed, Nov 18, 2015",Utah Jazz,Toronto Raptors,4.0
"Wed, Nov 18, 2015",Phoenix Suns,Chicago Bulls,-6.0
"Thu, Nov 19, 2015",Miami Heat,Sacramento Kings,7.0
"Thu, Nov 19, 2015",Cleveland Cavaliers,Milwaukee Bucks,15.0
"Thu, Nov 19, 2015",Los Angeles Clippers,Golden State Warriors,-7.0
"Fri, Nov 20, 2015",Charlotte Hornets,Philadelphia 76ers,25.0
"Fri, Nov 20, 2015",Boston Celtics,Brooklyn Nets,25.0
"Fri, Nov 20, 2015",Memphis Grizzlies,Houston Rockets,12.0
"Fri, Nov 20, 2015",Minnesota Timberwolves,Detroit Pistons,-10.0
"Fri, Nov 20, 2015",New Orleans Pelicans,San Antonio Spurs,14.0
"Fri, Nov 20, 2015",Oklahoma City Thunder,New York Knicks,-3.0
"Fri, Nov 20, 2015",Dallas Mavericks,Utah Jazz,9.0
"Fri, Nov 20, 2015",Denver Nuggets,Phoenix Suns,-7.0
"Fri, Nov 20, 2015",Portland Trail Blazers,Los Angeles Clippers,11.0
"Fri, Nov 20, 2015",Golden State Warriors,Chicago Bulls,12.0
"Fri, Nov 20, 2015",Los Angeles Lakers,Toronto Raptors,-11.0
"Sat, Nov 21, 2015",Orlando Magic,Sacramento Kings,-6.0
"Sat, Nov 21, 2015",Indiana Pacers,Milwaukee Bucks,37.0
"Sat, Nov 21, 2015",Cleveland Cavaliers,Atlanta Hawks,12.0
"Sat, Nov 21, 2015",Detroit Pistons,Washington Wizards,-2.0
"Sat, Nov 21, 2015",Houston Rockets,New York Knicks,-5.0
"Sat, Nov 21, 2015",Miami Heat,Philadelphia 76ers,5.0
"Sat, Nov 21, 2015",San Antonio Spurs,Memphis Grizzlies,10.0
"Sun, Nov 22, 2015",Los Angeles Clippers,Toronto Raptors,-11.0
"Sun, Nov 22, 2015",Brooklyn Nets,Boston Celtics,10.0
"Sun, Nov 22, 2015",New Orleans Pelicans,Phoenix Suns,6.0
"Sun, Nov 22, 2015",Oklahoma City Thunder,Dallas Mavericks,3.0
"Sun, Nov 22, 2015",Denver Nuggets,Golden State Warriors,-13.0
"Sun, Nov 22, 2015",Los Angeles Lakers,Portland Trail Blazers,-14.0
"Mon, Nov 23, 2015",Charlotte Hornets,Sacramento Kings,5.0
"Mon, Nov 23, 2015",Cleveland Cavaliers,Orlando Magic,14.0
"Mon, Nov 23, 2015",Miami Heat,New York Knicks,17.0
"Mon, Nov 23, 2015",Milwaukee Bucks,Detroit Pistons,21.0
"Mon, Nov 23, 2015",Minnesota Timberwolves,Philadelphia 76ers,5.0
"Mon, Nov 23, 2015",San Antonio Spurs,Phoenix Suns,14.0
"Mon, Nov 23, 2015",Utah Jazz,Oklahoma City Thunder,-22.0
"Tue, Nov 24, 2015",Washington Wizards,Indiana Pacers,-17.0
"Tue, Nov 24, 2015",Atlanta Hawks,Boston Celtics,24.0
"Tue, Nov 24, 2015",Memphis Grizzlies,Dallas Mavericks,14.0
"Tue, Nov 24, 2015",Denver Nuggets,Los Angeles Clippers,-17.0
"Tue, Nov 24, 2015",Portland Trail Blazers,Chicago Bulls,-5.0
"Tue, Nov 24, 2015",Golden State Warriors,Los Angeles Lakers,34.0
"Wed, Nov 25, 2015",Charlotte Hornets,Washington Wizards,14.0
"Wed, Nov 25, 2015",Orlando Magic,New York Knicks,9.0
"Wed, Nov 25, 2015",Boston Celtics,Philadelphia 76ers,4.0
"Wed, Nov 25, 2015",Detroit Pistons,Miami Heat,23.0
"Wed, Nov 25, 2015",Toronto Raptors,Cleveland Cavaliers,4.0
"Wed, Nov 25, 2015",Houston Rockets,Memphis Grizzlies,-9.0
"Wed, Nov 25, 2015",Milwaukee Bucks,Sacramento Kings,-11.0
"Wed, Nov 25, 2015",Minnesota Timberwolves,Atlanta Hawks,4.0
"Wed, Nov 25, 2015",Oklahoma City Thunder,Brooklyn Nets,11.0
"Wed, Nov 25, 2015",San Antonio Spurs,Dallas Mavericks,5.0
"Wed, Nov 25, 2015",Phoenix Suns,New Orleans Pelicans,-6.0
"Wed, Nov 25, 2015",Los Angeles Clippers,Utah Jazz,-11.0
"Fri, Nov 27, 2015",Charlotte Hornets,Cleveland Cavaliers,-5.0
"Fri, Nov 27, 2015",Orlando Magic,Milwaukee Bucks,24.0
"Fri, Nov 27, 2015",Boston Celtics,Washington Wizards,33.0
"Fri, Nov 27, 2015",New York Knicks,Miami Heat,-19.0
"Fri, Nov 27, 2015",Houston Rockets,Philadelphia 76ers,2.0
"Fri, Nov 27, 2015",Indiana Pacers,Chicago Bulls,12.0
"Fri, Nov 27, 2015",Memphis Grizzlies,Atlanta Hawks,-15.0
"Fri, Nov 27, 2015",Oklahoma City Thunder,Detroit Pistons,16.0
"Fri, Nov 27, 2015",Denver Nuggets,San Antonio Spurs,-11.0
"Fri, Nov 27, 2015",Phoenix Suns,Golden State Warriors,-19.0
"Fri, Nov 27, 2015",Sacramento Kings,Minnesota Timberwolves,-10.0
"Fri, Nov 27, 2015",Los Angeles Clippers,New Orleans Pelicans,21.0
"Sat, Nov 28, 2015",Washington Wizards,Toronto Raptors,-2.0
"Sat, Nov 28, 2015",Cleveland Cavaliers,Brooklyn Nets,2.0
"Sat, Nov 28, 2015",Dallas Mavericks,Denver Nuggets,11.0
"Sat, Nov 28, 2015",San Antonio Spurs,Atlanta Hawks,20.0
"Sat, Nov 28, 2015",Utah Jazz,New Orleans Pelicans,14.0
"Sat, Nov 28, 2015",Portland Trail Blazers,Los Angeles Lakers,12.0
"Sat, Nov 28, 2015",Golden State Warriors,Sacramento Kings,19.0
"Sun, Nov 29, 2015",Charlotte Hornets,Milwaukee Bucks,5.0
"Sun, Nov 29, 2015",Los Angeles Clippers,Minnesota Timberwolves,8.0
"Sun, Nov 29, 2015",Brooklyn Nets,Detroit Pistons,4.0
"Sun, Nov 29, 2015",Memphis Grizzlies,Philadelphia 76ers,8.0
"Sun, Nov 29, 2015",Orlando Magic,Boston Celtics,19.0
"Sun, Nov 29, 2015",Toronto Raptors,Phoenix Suns,-5.0
"Sun, Nov 29, 2015",New York Knicks,Houston Rockets,-5.0
"Sun, Nov 29, 2015",Los Angeles Lakers,Indiana Pacers,-4.0
"Mon, Nov 30, 2015",Detroit Pistons,Houston Rockets,11.0
"Mon, Nov 30, 2015",Miami Heat,Boston Celtics,-10.0
"Mon, Nov 30, 2015",Atlanta Hawks,Oklahoma City Thunder,6.0
"Mon, Nov 30, 2015",Chicago Bulls,San Antonio Spurs,3.0
"Mon, Nov 30, 2015",Milwaukee Bucks,Denver Nuggets,18.0
"Mon, Nov 30, 2015",Utah Jazz,Golden State Warriors,-3.0
"Mon, Nov 30, 2015",Sacramento Kings,Dallas Mavericks,14.0
"Mon, Nov 30, 2015",Los Angeles Clippers,Portland Trail Blazers,15.0
"Tue, Dec 1, 2015",Cleveland Cavaliers,Washington Wizards,-12.0
"Tue, Dec 1, 2015",Philadelphia 76ers,Los Angeles Lakers,12.0
"Tue, Dec 1, 2015",Brooklyn Nets,Phoenix Suns,3.0
"Tue, Dec 1, 2015",Minnesota Timberwolves,Orlando Magic,-3.0
"Tue, Dec 1, 2015",New Orleans Pelicans,Memphis Grizzlies,-9.0
"Tue, Dec 1, 2015",Portland Trail Blazers,Dallas Mavericks,-3.0
"Wed, Dec 2, 2015",Charlotte Hornets,Golden State Warriors,-17.0
"Wed, Dec 2, 2015",Washington Wizards,Los Angeles Lakers,-4.0
"Wed, Dec 2, 2015",Detroit Pistons,Phoenix Suns,5.0
"Wed, Dec 2, 2015",New York Knicks,Philadelphia 76ers,12.0
"Wed, Dec 2, 2015",Atlanta Hawks,Toronto Raptors,-10.0
"Wed, Dec 2, 2015",Chicago Bulls,Denver Nuggets,9.0
"Wed, Dec 2, 2015",Houston Rockets,New Orleans Pelicans,7.0
"Wed, Dec 2, 2015",San Antonio Spurs,Milwaukee Bucks,25.0
"Wed, Dec 2, 2015",Los Angeles Clippers,Indiana Pacers,-12.0
"Thu, Dec 3, 2015",Miami Heat,Oklahoma City Thunder,2.0
"Thu, Dec 3, 2015",Toronto Raptors,Denver Nuggets,-1.0
"Thu, Dec 3, 2015",Utah Jazz,Orlando Magic,-9.0
"Thu, Dec 3, 2015",Memphis Grizzlies,San Antonio Spurs,-20.0
"Thu, Dec 3, 2015",Portland Trail Blazers,Indiana Pacers,12.0
"Thu, Dec 3, 2015",Sacramento Kings,Boston Celtics,-17.0
"Fri, Dec 4, 2015",New York Knicks,Brooklyn Nets,17.0
"Fri, Dec 4, 2015",Washington Wizards,Phoenix Suns,3.0
"Fri, Dec 4, 2015",Detroit Pistons,Milwaukee Bucks,7.0
"Fri, Dec 4, 2015",Atlanta Hawks,Los Angeles Lakers,13.0
"Fri, Dec 4, 2015",Dallas Mavericks,Houston Rockets,-4.0
"Fri, Dec 4, 2015",New Orleans Pelicans,Cleveland Cavaliers,6.0
"Sat, Dec 5, 2015",Philadelphia 76ers,Denver Nuggets,-3.0
"Sat, Dec 5, 2015",Toronto Raptors,Golden State Warriors,-3.0
"Sat, Dec 5, 2015",Chicago Bulls,Charlotte Hornets,-6.0
"Sat, Dec 5, 2015",Houston Rockets,Sacramento Kings,7.0
"Sat, Dec 5, 2015",Miami Heat,Cleveland Cavaliers,15.0
"Sat, Dec 5, 2015",Minnesota Timberwolves,Portland Trail Blazers,-6.0
"Sat, Dec 5, 2015",Milwaukee Bucks,New York Knicks,15.0
"Sat, Dec 5, 2015",San Antonio Spurs,Boston Celtics,3.0
"Sat, Dec 5, 2015",Utah Jazz,Indiana Pacers,3.0
"Sat, Dec 5, 2015",Los Angeles Clippers,Orlando Magic,2.0
"Sun, Dec 6, 2015",Memphis Grizzlies,Phoenix Suns,2.0
"Sun, Dec 6, 2015",Brooklyn Nets,Golden State Warriors,-16.0
"Sun, Dec 6, 2015",Detroit Pistons,Los Angeles Lakers,20.0
"Sun, Dec 6, 2015",Washington Wizards,Dallas Mavericks,-12.0
"Sun, Dec 6, 2015",Oklahoma City Thunder,Sacramento Kings,3.0
"Mon, Dec 7, 2015",Charlotte Hornets,Detroit Pistons,20.0
"Mon, Dec 7, 2015",Philadelphia 76ers,San Antonio Spurs,-51.0
"Mon, Dec 7, 2015",Miami Heat,Washington Wizards,-11.0
"Mon, Dec 7, 2015",New York Knicks,Dallas Mavericks,-7.0
"Mon, Dec 7, 2015",Toronto Raptors,Los Angeles Lakers,9.0
"Mon, Dec 7, 2015",Chicago Bulls,Phoenix Suns,-2.0
"Mon, Dec 7, 2015",Milwaukee Bucks,Portland Trail Blazers,2.0
"Mon, Dec 7, 2015",Minnesota Timberwolves,Los Angeles Clippers,-4.0
"Mon, Dec 7, 2015",New Orleans Pelicans,Boston Celtics,-18.0
"Tue, Dec 8, 2015",Cleveland Cavaliers,Portland Trail Blazers,5.0
"Tue, Dec 8, 2015",Indiana Pacers,Golden State Warriors,-8.0
"Tue, Dec 8, 2015",Brooklyn Nets,Houston Rockets,5.0
"Tue, Dec 8, 2015",Memphis Grizzlies,Oklahoma City Thunder,-37.0
"Tue, Dec 8, 2015",Denver Nuggets,Orlando Magic,-11.0
"Tue, Dec 8, 2015",Sacramento Kings,Utah Jazz,8.0
"Wed, Dec 9, 2015",Boston Celtics,Chicago Bulls,5.0
"Wed, Dec 9, 2015",Charlotte Hornets,Miami Heat,18.0
"Wed, Dec 9, 2015",Washington Wizards,Houston Rockets,-6.0
"Wed, Dec 9, 2015",Detroit Pistons,Memphis Grizzlies,-1.0
"Wed, Dec 9, 2015",Toronto Raptors,San Antonio Spurs,3.0
"Wed, Dec 9, 2015",Milwaukee Bucks,Los Angeles Clippers,-14.0
"Wed, Dec 9, 2015",Minnesota Timberwolves,Los Angeles Lakers,1.0
"Wed, Dec 9, 2015",Phoenix Suns,Orlando Magic,3.0
"Wed, Dec 9, 2015",Utah Jazz,New York Knicks,21.0
"Wed, Dec 9, 2015",Dallas Mavericks,Atlanta Hawks,-3.0
"Thu, Dec 10, 2015",Brooklyn Nets,Philadelphia 76ers,9.0
"Thu, Dec 10, 2015",Chicago Bulls,Los Angeles Clippers,3.0
"Thu, Dec 10, 2015",Oklahoma City Thunder,Atlanta Hawks,13.0
"Thu, Dec 10, 2015",Sacramento Kings,New York Knicks,2.0
"Fri, Dec 11, 2015",Indiana Pacers,Miami Heat,13.0
"Fri, Dec 11, 2015",Orlando Magic,Cleveland Cavaliers,-35.0
"Fri, Dec 11, 2015",Philadelphia 76ers,Detroit Pistons,-12.0
"Fri, Dec 11, 2015",Boston Celtics,Golden State Warriors,-5.0
"Fri, Dec 11, 2015",Toronto Raptors,Milwaukee Bucks,7.0
"Fri, Dec 11, 2015",Memphis Grizzlies,Charlotte Hornets,-24.0
"Fri, Dec 11, 2015",New Orleans Pelicans,Washington Wizards,2.0
"Fri, Dec 11, 2015",Denver Nuggets,Minnesota Timberwolves,3.0
"Fri, Dec 11, 2015",Utah Jazz,Oklahoma City Thunder,-4.0
"Fri, Dec 11, 2015",Phoenix Suns,Portland Trail Blazers,-10.0
"Fri, Dec 11, 2015",San Antonio Spurs,Los Angeles Lakers,22.0
"Sat, Dec 12, 2015",Brooklyn Nets,Los Angeles Clippers,-5.0
"Sat, Dec 12, 2015",Charlotte Hornets,Boston Celtics,-5.0
"Sat, Dec 12, 2015",Detroit Pistons,Indiana Pacers,22.0
"Sat, Dec 12, 2015",Atlanta Hawks,San Antonio Spurs,-25.0
"Sat, Dec 12, 2015",Chicago Bulls,New Orleans Pelicans,4.0
"Sat, Dec 12, 2015",Houston Rockets,Los Angeles Lakers,29.0
"Sat, Dec 12, 2015",Dallas Mavericks,Washington Wizards,-3.0
"Sat, Dec 12, 2015",Milwaukee Bucks,Golden State Warriors,13.0
"Sat, Dec 12, 2015",Portland Trail Blazers,New York Knicks,-2.0
"Sun, Dec 13, 2015",Phoenix Suns,Minnesota Timberwolves,7.0
"Sun, Dec 13, 2015",Miami Heat,Memphis Grizzlies,3.0
"Sun, Dec 13, 2015",Toronto Raptors,Philadelphia 76ers,20.0
"Sun, Dec 13, 2015",Oklahoma City Thunder,Utah Jazz,6.0
"Mon, Dec 14, 2015",Indiana Pacers,Toronto Raptors,16.0
"Mon, Dec 14, 2015",Brooklyn Nets,Orlando Magic,-23.0
"Mon, Dec 14, 2015",Detroit Pistons,Los Angeles Clippers,-2.0
"Mon, Dec 14, 2015",Atlanta Hawks,Miami Heat,-12.0
