Date,Home/Neutral,Visitor/Neutral,Diifference
"Tue, Oct 28, 2014",New Orleans Pelicans,Orlando Magic,17.0
"Tue, Oct 28, 2014",San Antonio Spurs,Dallas Mavericks,1.0
"Tue, Oct 28, 2014",Los Angeles Lakers,Houston Rockets,-18.0
"Wed, Oct 29, 2014",Charlotte Hornets,Milwaukee Bucks,2.0
"Wed, Oct 29, 2014",Indiana Pacers,Philadelphia 76ers,12.0
"Wed, Oct 29, 2014",Toronto Raptors,Atlanta Hawks,7.0
"Wed, Oct 29, 2014",Miami Heat,Washington Wizards,12.0
"Wed, Oct 29, 2014",Boston Celtics,Brooklyn Nets,16.0
"Wed, Oct 29, 2014",Memphis Grizzlies,Minnesota Timberwolves,4.0
"Wed, Oct 29, 2014",New York Knicks,Chicago Bulls,-24.0
"Wed, Oct 29, 2014",Denver Nuggets,Detroit Pistons,10.0
"Wed, Oct 29, 2014",Utah Jazz,Houston Rockets,-11.0
"Wed, Oct 29, 2014",Sacramento Kings,Golden State Warriors,-18.0
"Wed, Oct 29, 2014",Phoenix Suns,Los Angeles Lakers,20.0
"Wed, Oct 29, 2014",Portland Trail Blazers,Oklahoma City Thunder,17.0
"Thu, Oct 30, 2014",Orlando Magic,Washington Wizards,-7.0
"Thu, Oct 30, 2014",Cleveland Cavaliers,New York Knicks,-5.0
"Thu, Oct 30, 2014",Minnesota Timberwolves,Detroit Pistons,6.0
"Thu, Oct 30, 2014",Dallas Mavericks,Utah Jazz,18.0
"Thu, Oct 30, 2014",Los Angeles Clippers,Oklahoma City Thunder,3.0
"Fri, Oct 31, 2014",Indiana Pacers,Memphis Grizzlies,-8.0
"Fri, Oct 31, 2014",Chicago Bulls,Cleveland Cavaliers,-6.0
"Fri, Oct 31, 2014",Milwaukee Bucks,Philadelphia 76ers,12.0
"Fri, Oct 31, 2014",Phoenix Suns,San Antonio Spurs,5.0
"Fri, Oct 31, 2014",Sacramento Kings,Portland Trail Blazers,9.0
"Fri, Oct 31, 2014",Los Angeles Lakers,Los Angeles Clippers,-7.0
"Sat, Nov 1, 2014",Charlotte Hornets,Memphis Grizzlies,-2.0
"Sat, Nov 1, 2014",New Orleans Pelicans,Dallas Mavericks,-5.0
"Sat, Nov 1, 2014",Orlando Magic,Toronto Raptors,-13.0
"Sat, Nov 1, 2014",Philadelphia 76ers,Miami Heat,-18.0
"Sat, Nov 1, 2014",Washington Wizards,Milwaukee Bucks,11.0
"Sat, Nov 1, 2014",Atlanta Hawks,Indiana Pacers,10.0
"Sat, Nov 1, 2014",Detroit Pistons,Brooklyn Nets,-12.0
"Sat, Nov 1, 2014",Houston Rockets,Boston Celtics,14.0
"Sat, Nov 1, 2014",Minnesota Timberwolves,Chicago Bulls,-1.0
"Sat, Nov 1, 2014",Oklahoma City Thunder,Denver Nuggets,11.0
"Sat, Nov 1, 2014",Utah Jazz,Phoenix Suns,27.0
"Sat, Nov 1, 2014",Golden State Warriors,Los Angeles Lakers,23.0
"Sun, Nov 2, 2014",Los Angeles Clippers,Sacramento Kings,-6.0
"Sun, Nov 2, 2014",Miami Heat,Toronto Raptors,5.0
"Sun, Nov 2, 2014",New York Knicks,Charlotte Hornets,3.0
"Sun, Nov 2, 2014",Portland Trail Blazers,Golden State Warriors,-5.0
"Mon, Nov 3, 2014",Philadelphia 76ers,Houston Rockets,-11.0
"Mon, Nov 3, 2014",Brooklyn Nets,Oklahoma City Thunder,31.0
"Mon, Nov 3, 2014",Memphis Grizzlies,New Orleans Pelicans,12.0
"Mon, Nov 3, 2014",Dallas Mavericks,Boston Celtics,5.0
"Mon, Nov 3, 2014",Denver Nuggets,Sacramento Kings,-5.0
"Mon, Nov 3, 2014",Los Angeles Clippers,Utah Jazz,6.0
"Tue, Nov 4, 2014",Indiana Pacers,Milwaukee Bucks,-6.0
"Tue, Nov 4, 2014",Miami Heat,Houston Rockets,-17.0
"Tue, Nov 4, 2014",New York Knicks,Washington Wizards,-15.0
"Tue, Nov 4, 2014",Toronto Raptors,Oklahoma City Thunder,12.0
"Tue, Nov 4, 2014",Chicago Bulls,Orlando Magic,8.0
"Tue, Nov 4, 2014",New Orleans Pelicans,Charlotte Hornets,9.0
"Tue, Nov 4, 2014",Portland Trail Blazers,Cleveland Cavaliers,19.0
"Tue, Nov 4, 2014",Los Angeles Lakers,Phoenix Suns,-6.0
"Wed, Nov 5, 2014",Charlotte Hornets,Miami Heat,7.0
"Wed, Nov 5, 2014",Philadelphia 76ers,Orlando Magic,-2.0
"Wed, Nov 5, 2014",Boston Celtics,Toronto Raptors,-3.0
"Wed, Nov 5, 2014",Brooklyn Nets,Minnesota Timberwolves,-7.0
"Wed, Nov 5, 2014",Detroit Pistons,New York Knicks,3.0
"Wed, Nov 5, 2014",Milwaukee Bucks,Chicago Bulls,-9.0
"Wed, Nov 5, 2014",Washington Wizards,Indiana Pacers,2.0
"Wed, Nov 5, 2014",San Antonio Spurs,Atlanta Hawks,2.0
"Wed, Nov 5, 2014",Phoenix Suns,Memphis Grizzlies,-11.0
"Wed, Nov 5, 2014",Utah Jazz,Cleveland Cavaliers,2.0
"Wed, Nov 5, 2014",Sacramento Kings,Denver Nuggets,22.0
"Wed, Nov 5, 2014",Golden State Warriors,Los Angeles Clippers,17.0
"Thu, Nov 6, 2014",Houston Rockets,San Antonio Spurs,17.0
"Thu, Nov 6, 2014",Portland Trail Blazers,Dallas Mavericks,21.0
"Fri, Nov 7, 2014",Charlotte Hornets,Atlanta Hawks,3.0
"Fri, Nov 7, 2014",Orlando Magic,Minnesota Timberwolves,9.0
"Fri, Nov 7, 2014",Philadelphia 76ers,Chicago Bulls,-3.0
"Fri, Nov 7, 2014",Boston Celtics,Indiana Pacers,3.0
"Fri, Nov 7, 2014",Brooklyn Nets,New York Knicks,11.0
"Fri, Nov 7, 2014",Detroit Pistons,Milwaukee Bucks,3.0
"Fri, Nov 7, 2014",Toronto Raptors,Washington Wizards,19.0
"Fri, Nov 7, 2014",Oklahoma City Thunder,Memphis Grizzlies,-2.0
"Fri, Nov 7, 2014",Phoenix Suns,Sacramento Kings,-2.0
"Fri, Nov 7, 2014",Utah Jazz,Dallas Mavericks,-23.0
"Fri, Nov 7, 2014",Denver Nuggets,Cleveland Cavaliers,-9.0
"Sat, Nov 8, 2014",Los Angeles Clippers,Portland Trail Blazers,4.0
"Sat, Nov 8, 2014",Indiana Pacers,Washington Wizards,-7.0
"Sat, Nov 8, 2014",Atlanta Hawks,New York Knicks,7.0
"Sat, Nov 8, 2014",Miami Heat,Minnesota Timberwolves,10.0
"Sat, Nov 8, 2014",Chicago Bulls,Boston Celtics,-5.0
"Sat, Nov 8, 2014",Houston Rockets,Golden State Warriors,-11.0
"Sat, Nov 8, 2014",Milwaukee Bucks,Memphis Grizzlies,1.0
"Sat, Nov 8, 2014",San Antonio Spurs,New Orleans Pelicans,-1.0
"Sun, Nov 9, 2014",Brooklyn Nets,Orlando Magic,8.0
"Sun, Nov 9, 2014",Detroit Pistons,Utah Jazz,-1.0
"Sun, Nov 9, 2014",Oklahoma City Thunder,Sacramento Kings,8.0
"Sun, Nov 9, 2014",Toronto Raptors,Philadelphia 76ers,32.0
"Sun, Nov 9, 2014",Dallas Mavericks,Miami Heat,-9.0
"Sun, Nov 9, 2014",Phoenix Suns,Golden State Warriors,12.0
"Sun, Nov 9, 2014",Portland Trail Blazers,Denver Nuggets,16.0
"Sun, Nov 9, 2014",Los Angeles Lakers,Charlotte Hornets,15.0
"Mon, Nov 10, 2014",Cleveland Cavaliers,New Orleans Pelicans,7.0
"Mon, Nov 10, 2014",Indiana Pacers,Utah Jazz,11.0
"Mon, Nov 10, 2014",New York Knicks,Atlanta Hawks,-6.0
"Mon, Nov 10, 2014",Chicago Bulls,Detroit Pistons,11.0
"Mon, Nov 10, 2014",Los Angeles Clippers,San Antonio Spurs,-4.0
"Tue, Nov 11, 2014",Toronto Raptors,Orlando Magic,4.0
"Tue, Nov 11, 2014",Memphis Grizzlies,Los Angeles Lakers,5.0
"Tue, Nov 11, 2014",Milwaukee Bucks,Oklahoma City Thunder,7.0
"Tue, Nov 11, 2014",Dallas Mavericks,Sacramento Kings,8.0
"Tue, Nov 11, 2014",Portland Trail Blazers,Charlotte Hornets,2.0
"Tue, Nov 11, 2014",Golden State Warriors,San Antonio Spurs,-13.0
"Wed, Nov 12, 2014",Washington Wizards,Detroit Pistons,4.0
"Wed, Nov 12, 2014",Atlanta Hawks,Utah Jazz,3.0
"Wed, Nov 12, 2014",Boston Celtics,Oklahoma City Thunder,-15.0
"Wed, Nov 12, 2014",Miami Heat,Indiana Pacers,-6.0
"Wed, Nov 12, 2014",New York Knicks,Orlando Magic,-2.0
"Wed, Nov 12, 2014",New Orleans Pelicans,Los Angeles Lakers,7.0
"Wed, Nov 12, 2014",Denver Nuggets,Portland Trail Blazers,-17.0
"Wed, Nov 12, 2014",Phoenix Suns,Brooklyn Nets,8.0
"Wed, Nov 12, 2014",Minnesota Timberwolves,Houston Rockets,-12.0
"Thu, Nov 13, 2014",Memphis Grizzlies,Sacramento Kings,1.0
"Thu, Nov 13, 2014",Toronto Raptors,Chicago Bulls,-7.0
"Thu, Nov 13, 2014",Dallas Mavericks,Philadelphia 76ers,53.0
"Thu, Nov 13, 2014",Golden State Warriors,Brooklyn Nets,8.0
"Fri, Nov 14, 2014",Indiana Pacers,Denver Nuggets,-21.0
"Fri, Nov 14, 2014",Orlando Magic,Milwaukee Bucks,16.0
"Fri, Nov 14, 2014",Atlanta Hawks,Miami Heat,11.0
"Fri, Nov 14, 2014",Boston Celtics,Cleveland Cavaliers,-1.0
